# ['F488_Pos_0-1_alng.tif', 'F488_Pos_0-2_alng.tif']
1.938153381347656250e+02,1.988744659423828125e+02
2.083702697753906250e+02,2.128102569580078125e+02
2.229374084472656250e+02,2.270513305664062500e+02
2.275129089355468750e+02,2.320931243896484375e+02
2.345712738037109375e+02,2.385583190917968750e+02
2.342878417968750000e+02,2.392957305908203125e+02
2.382020568847656250e+02,2.429723205566406250e+02
2.386508789062500000e+02,2.427121582031250000e+02
2.409523468017578125e+02,2.431114044189453125e+02
2.389018096923828125e+02,2.410528411865234375e+02
2.396511688232421875e+02,2.433613739013671875e+02
2.379590454101562500e+02,2.414075927734375000e+02
2.403616943359375000e+02,2.409273376464843750e+02
2.377679748535156250e+02,2.395208282470703125e+02
2.414433288574218750e+02,2.392199401855468750e+02
2.418721160888671875e+02,2.405059051513671875e+02
2.366185913085937500e+02,2.382204742431640625e+02
2.400767211914062500e+02,2.404417419433593750e+02
2.401851806640625000e+02,2.364689788818359375e+02
2.354008941650390625e+02,2.345498809814453125e+02
