# Time, Avrg_int, SD, SE, Sum_int, Max_int
0.000000000000000000e+00,2.164886169433593750e+02,1.291247558593750000e+01,9.130499048722144906e+00,1.139066080000000000e+08,5.870000000000000000e+02
1.500000000000000000e+01,2.243176422119140625e+02,5.613403320312500000e+00,3.969275553328050155e+00,1.177577200000000000e+08,6.090000000000000000e+02
3.000000000000000000e+01,2.295034484863281250e+02,6.738052368164062500e-01,4.764522521518883558e-01,1.214952480000000000e+08,6.040000000000000000e+02
4.500000000000000000e+01,2.325431823730468750e+02,2.734825134277343750e+00,1.933813397806920076e+00,1.227397280000000000e+08,6.550000000000000000e+02
6.000000000000000000e+01,2.354816894531250000e+02,4.936820983886718750e+00,3.490859595210341837e+00,1.245385600000000000e+08,6.790000000000000000e+02
7.500000000000000000e+01,2.378989257812500000e+02,4.673088073730468750e+00,3.304372266016795123e+00,1.255653600000000000e+08,6.610000000000000000e+02
9.000000000000000000e+01,2.393600769042968750e+02,4.556762695312500000e+00,3.222117802113358298e+00,1.270827840000000000e+08,6.290000000000000000e+02
1.050000000000000000e+02,2.410843200683593750e+02,3.520439147949218750e+00,2.489326394269483878e+00,1.276237280000000000e+08,7.110000000000000000e+02
1.200000000000000000e+02,2.426465148925781250e+02,2.360572814941406250e+00,1.669177044929685438e+00,1.283291760000000000e+08,7.240000000000000000e+02
1.350000000000000000e+02,2.436827239990234375e+02,1.913604736328125000e-01,1.353122885568312228e-01,1.290050400000000000e+08,7.844621582031250000e+02
1.500000000000000000e+02,2.469493865966796875e+02,1.696914672851562500e+00,1.199899872268291645e+00,1.306086800000000000e+08,7.330000000000000000e+02
1.650000000000000000e+02,2.481656799316406250e+02,3.932723999023437500e+00,2.780855808244549809e+00,1.312619440000000000e+08,7.800000000000000000e+02
1.800000000000000000e+02,2.487311096191406250e+02,7.339515686035156250e+00,5.189821312220494143e+00,1.321896400000000000e+08,8.230000000000000000e+02
1.950000000000000000e+02,2.622243347167968750e+02,1.990478515625000000e+01,1.407480856204570685e+01,1.388838080000000000e+08,8.640000000000000000e+02
2.100000000000000000e+02,2.644678955078125000e+02,2.338896369934082031e+01,1.653849483672989251e+01,1.403286560000000000e+08,9.020000000000000000e+02
2.250000000000000000e+02,2.677268066406250000e+02,2.722090911865234375e+01,1.924808942786179600e+01,1.425592000000000000e+08,9.590000000000000000e+02
2.400000000000000000e+02,2.737033081054687500e+02,3.316639709472656250e+01,2.345218429320695819e+01,1.451247840000000000e+08,1.087000000000000000e+03
2.550000000000000000e+02,2.781667785644531250e+02,3.772503662109375000e+01,2.667562921528622866e+01,1.481182560000000000e+08,1.121000000000000000e+03
2.700000000000000000e+02,2.806907043457031250e+02,4.375894927978515625e+01,3.094224977333427162e+01,1.493389760000000000e+08,1.087000000000000000e+03
2.850000000000000000e+02,2.861568908691406250e+02,5.070142364501953125e+01,3.585132047520527010e+01,1.519565440000000000e+08,1.100000000000000000e+03
3.000000000000000000e+02,3.503706156856841858e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.310048000000000000e+07,1.206000000000000000e+03
